valency,monomer,intensity
1,0,56
1,20,1889
1,50,3611
1,102,4444
1,256,10278
1,506,15944
2,0,56
2,20,4944
2,50,8556
2,102,13056
2,253,22889
2,506,28500
4,0,56
4,1,2389
4,5,8222
4,20,19500
4,50,27333
4,102,35500
8,0,56
8,2,7556
8,5,14611
8,20,30944
8,50,36611
8,102,39389
