valency,monomer,intensity
1,0,0.00
1,20,0.05
1,50,0.10
1,100,0.15
1,250,0.32
1,497,0.50
2,0,0.00
2,5,0.08
2,20,0.16
2,50,0.29
2,99,0.44
2,250,0.62
2,497,0.77
4,0,0.00
4,1,0.06
4,5,0.14
4,20,0.39
4,50,0.58
4,99,0.76
4,250,0.87
8,0,0.00
8,1,0.17
8,5,0.40
8,20,0.73
8,50,0.87
8,100,0.91
8,252,0.97
