valency,monomer,intensity
1,0,0.00
1,5,0.00
1,20,0.01
1,50,0.03
1,101,0.06
1,251,0.13
1,504,0.24
2,0,0.00
2,5,0.02
2,20,0.05
2,50,0.10
2,101,0.17
2,250,0.39
2,504,0.51
4,0,0.00
4,1,0.02
4,5,0.04
4,20,0.16
4,50,0.28
4,101,0.43
4,250,0.59
4,504,0.75
8,0,0.00
8,1,0.06
8,5,0.23
8,20,0.52
8,50,0.71
8,101,0.85
8,251,0.94
