valency,monomer,intensity
1,0,59
1,20,59
1,50,176
1,101,294
1,253,529
1,503,1176
2,0,59
2,20,765
2,50,1000
2,101,2118
2,252,5000
2,502,7647
4,0,59
4,2,588
4,5,1294
4,20,5824
4,49,9529
4,100,13824
8,0,59
8,2,1529
8,5,3529
8,20,10412
8,49,14824
8,101,19941
